id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
BT9b7t	gEtA7z	SanchezRoige2019auditt23andMe	Deming2017ab42	5e-6	TRUE	0	NA	NA
mx9UYC	bzQwhL	Howard2019dep23andMe	Deming2017ab42	5e-6	TRUE	1	5.67648226463583	0.805
CpgIXT	wz0HD1	Jansen2018insomnia23andMe	Deming2017ab42	5e-6	TRUE	0	NA	NA
21kqGi	gKtNM8	Liu2019smkint23andMe	Deming2017ab42	5e-6	TRUE	0	NA	NA
VzbKsD	B4rVUp	Liu2019smkcpd23andMe	Deming2017ab42	5e-6	TRUE	0	NA	NA
yyEFRq	uJzjAF	Liu2019drnkwk23andMe	Deming2017ab42	5e-6	TRUE	0	NA	NA
AcUPVP	bkzdUo	Yengo2018bmi	Deming2017ptau	5e-8	TRUE	0	NA	NA
V93WcY	pSan3a	Yengo2018bmi	Deming2017ptau	5e-6	TRUE	4	5.869299568177253	0.551
QIU9E8	VGlDib	Xue2018diab	Deming2017ptau	5e-6	TRUE	0	NA	NA
hEWHHS	KxQrqE	Niarchou2020meat	Deming2017ptau	5e-8	TRUE	0	NA	NA
EXOo5r	20HYdF	Niarchou2020meat	Deming2017ptau	5e-6	TRUE	0	NA	NA
AnnK0y	AzZSeu	Niarchou2020fish	Deming2017ptau	5e-8	TRUE	0	NA	NA
cJ3xhO	ZlZ2n1	Niarchou2020fish	Deming2017ptau	5e-6	TRUE	0	NA	NA
Cv9EgO	i73wwx	Willer2013hdl	Deming2017ptau	5e-8	TRUE	0	NA	NA
3ogCOa	6LUahq	Willer2013hdl	Deming2017ptau	5e-6	TRUE	0	NA	NA
NEdD00	uhclN7	Willer2013ldl	Deming2017ptau	5e-8	TRUE	0	NA	NA
q5Mj3i	SMzPGY	Willer2013ldl	Deming2017ptau	5e-6	TRUE	0	NA	NA
ZwvY58	EUL65g	Willer2013tc	Deming2017ptau	5e-8	TRUE	0	NA	NA
zWiv9J	8xxcXe	Willer2013tc	Deming2017ptau	5e-6	TRUE	0	NA	NA
MO0HUI	dAvkCn	Willer2013tg	Deming2017ptau	5e-8	TRUE	0	NA	NA
us2Fak	HwXuUK	Willer2013tg	Deming2017ptau	5e-6	TRUE	0	NA	NA
HWxcuT	bKFqHR	Dashti2019slepdur	Deming2017ptau	5e-8	TRUE	0	NA	NA
MMhG2A	8E7daf	Dashti2019slepdur	Deming2017ptau	5e-6	TRUE	0	NA	NA
